gear_type_predator_id,gear_type,gear_length_value,gear_length_min,gear_length_max,gear_length_units,gear_width_value,gear_width_min,gear_width_max,gear_width_units,gear_depth_value,gear_depth_min,gear_depth_max,gear_depth_units,mesh_size_value,mesh_size_min,mesh_size_max,mesh_size_units,fishing_depth_value,fishing_depth_min,fishing_depth_max,fishing_depth_units,tow_speed_value,tow_speed_min,tow_speed_max,tow_speed_units,duration_deployment_value,duration_deployment_min,duration_deployment_max,duration_deployment_units,gear_notes
1,drift net,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,circular tow net,NA,NA,NA,NA,2.1,NA,NA,meters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,small-mesh round haul seine,110,NA,NA,meters,NA,NA,NA,NA,7,NA,NA,meters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,small-mesh lampara seine,183,NA,NA,meters,NA,NA,NA,NA,14,NA,NA,meters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,surface trawl,NA,528,NA,meters,NA,NA,108,meters,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,meters,NA,4.5,5,knots,NA,NA,NA,NA,NA
6,gillnet,2.45,NA,NA,kilometers,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,157,millimeters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,surface longline,3.36,NA,NA,kilometers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,gillnet,950,NA,NA,meters,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,millimeters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,gillnet,NA,2.35,2.5,kilometers,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,157,millimeters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,drift gillnet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,136,millimeters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,trawl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,gillnet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,beach seine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
