"prey_id","predator_id","source_id","year_min","year_max","warm_cool_years","odd_even_years","season_min","season_max","month_min","month_max","date_min","date_max","time_min","time_max","lat_min","lat_max","lon_min","lon_max","predator_lowest_taxonomic_level","predator_life_stage","predator_life_stage_min","predator_life_stage_max","predator_freshwater_age","predator_freshwater_age_min","predator_freshwater_age_max","predator_ocean_age","predator_ocean_age_min","predator_ocean_age_max","predator_maturity","predator_maturity_min","predator_maturity_max","predator_length_value_cm","predator_length_min_cm","predator_length_max_cm","predator_weight_value_g","predator_weight_min_g","predator_weight_max_g","predator_subsample_id","predator_sex","hatchery_wild","predator_replicates","predator_notes","gear_type_predator_id1","gear_type_predator_id2","gear_type_predator_id3","gear_type_predator_id4","gear_type_predator_id5","prey_lowest_taxonomic_level","prey_kingdom","prey_phylum","prey_class","prey_order","prey_family","prey_genus","prey_species","prey_life_stage","prey_life_stage_min","prey_life_stage_max","prey_length_value_mm","prey_length_min_mm","prey_length_max_mm","prey_weight_value_mg","prey_weight_min_mg","prey_weight_max_mg","prey_sex","prey_subsample_id","prey_replicates","prey_notes","gear_type_prey_id1","gear_type_prey_id2","gear_type_prey_id3","gear_type_prey_id4","gear_type_prey_id5","biological_parameter","prey_bio_notes","value","mean","error","min","max","units"
1,7135,32,"1964","1965",NA,NA,NA,NA,"August","October","1964-08-14","1965-10-19",NA,NA,51,58.5,142,156.333333,"Oncorhynchus gorbuscha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,21.5,NA,NA,NA,0,"unspecified","unspecified",NA,NA,1,33,NA,NA,NA,"Themisto japonica","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Themisto","japonica",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,4,6,"millimeters"
2,7135,32,"1964","1965",NA,NA,NA,NA,"August","October","1964-08-14","1965-10-19",NA,NA,51,58.5,142,156.333333,"Oncorhynchus gorbuscha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,21.5,NA,NA,NA,0,"unspecified","unspecified",NA,NA,1,33,NA,NA,NA,"Themisto libellula","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyperiidae","Themisto","libellula",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,8,11,"millimeters"
3,7135,32,"1964","1965",NA,NA,NA,NA,"August","October","1964-08-14","1965-10-19",NA,NA,51,58.5,142,156.333333,"Oncorhynchus gorbuscha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,21.5,NA,NA,NA,0,"unspecified","unspecified",NA,NA,1,33,NA,NA,NA,"Primno macropa","Animalia","Arthropoda","Malacostraca","Amphipoda","Phrosinidae","Primno","macropa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,6,7,"millimeters"
4,7135,32,"1964","1965",NA,NA,NA,NA,"August","October","1964-08-14","1965-10-19",NA,NA,51,58.5,142,156.333333,"Oncorhynchus gorbuscha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,21.5,NA,NA,NA,0,"unspecified","unspecified",NA,NA,1,33,NA,NA,NA,"Thysanoessa raschii","Animalia","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","Thysanoessa","raschii",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,NA,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,NA,NA,10,11,"millimeters"
171,NA,40,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18847,39.207778,139.732081,139.877113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Evadne normanni","Animalia","Arthropoda","Branchiopoda","Onychopoda","Podonidae","Evadne","nordmanni",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,40,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,0.89,0.01,NA,NA,"millimeters"
172,NA,40,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18847,39.207778,139.732081,139.877113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Podon","Animalia","Arthropoda","Branchiopoda","Onychopoda","Podonidae","Podon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,40,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,0.74,0.02,NA,NA,"millimeters"
173,NA,40,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18847,39.207778,139.732081,139.877113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calanus sinicus","Animalia","Arthropoda","Hexanauplia","Calanoida","Calanidae","Calanus","sinicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,21,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,2.67,0.03,NA,NA,"millimeters"
174,NA,40,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18847,39.207778,139.732081,139.877113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paracalanus","Animalia","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,40,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,1.01,0.01,NA,NA,"millimeters"
175,NA,40,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18847,39.207778,139.732081,139.877113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Centropages abdominalis","Animalia","Arthropoda","Hexanauplia","Calanoida","Centropagidae","Centropages","abdominalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,37,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,1.65,0.02,NA,NA,"millimeters"
176,NA,40,"1993",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.18847,39.207778,139.732081,139.877113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Oithona","Animalia","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unspecified",0,40,NA,1,NA,NA,NA,NA,"prey_body_length",NA,NA,1.29,0.03,NA,NA,"millimeters"
