"source_id","publication_year","title","author1","author2","author3","author4","author5","author6","author7","author8","author9","author10","url","citation","source_notes","data_processing_notes","date_entered","entered_by"
1,"1966","Food relationships of the Pacific salmon in the sea","L. D. Andrievskaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andrievskaya, L.D., 1966. Food relationships of the Pacific salmon in the sea. Voprosy Ikhtiologii 6 (38), 84-90 (Translation by U.S. Joint Publications Research Service for Bureau of Commercial Fisheries, Seattle, U.S.A, 11 pp).","The diet metric reported was assumed to be percent weight of prey",NA,"2019-11-15","Caroline Graham"
2,"1976","Foods of juvenile sockeye salmon, Oncorhynchus nerka, in the inshore coastal waters of Bristol Bay, Alaska, 1966-67","H. R. Carlson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carlson, H.R., 1976. Foods of juvenile sockeye salmon, Oncorhynchus nerka, in the inshore coastal waters of Bristol Bay, Alaska, 1966-67. Fishery Bulletin 74, 458-462.","This paper reports stomach contents as percent dry weight of prey","processed in lab","2019-11-15","Caroline Graham"
3,"1995","Feeding and daily rations of sockeye salmon (Oncorhynchus nerka) during the summer period","V. L. Chuchukalo","A. F. Volkov","A. Ya. Efimkin","N. A. Kuznetsova",NA,NA,NA,NA,NA,NA,NA,"Chuchukalo, V.L., Volkov, A.F., Efimkin, A.Y., Kuznetsova, N.A., 1995. Feeding and daily rations of sockeye salmon (Oncorhynchus nerka) during the summer period (NPAFC Doc. 125). Pacific Research Institute of Fisheries Oceanography (TINRO), Vladivostok, Russia, 9 pp.","The diet metric reported was assumed to be percent weight of prey",NA,"2019-11-15","Caroline Graham"
4,"1996","The 1996 Japan-U.S. cooperative high-seas salmon research cruise of the Wakatake maru and a summary of 1991-1996 results","N. D. Davis","M. Takahashi","Y. Ishida",NA,NA,NA,NA,NA,NA,NA,NA,"Davis, N.D., Takahashi, M., Ishida, Y., 1996. The 1996 Japan-U.S. cooperative high-seas salmon research cruise of the Wakatake maru and a summary of 1991-1996 results. (NPAFC Doc. 194) FRI-UW-9617. Fisheries Research Institute, University of Washington, Seattle, U.S.A; National Research Institute of Far Seas Fisheries, Shimizu, Japan, 45 pp.","This paper reports some of the same data as Tadokoro et al. 1996, but the diet data is presented differently and there is more detailed data in this source and more years. This paper also presents some of the same data as Myers and Aydin 1996 and Myers et al. 1995 but there are less years reported in these source. In Myers et al. 1995 the diet data is reported as percent weight of prey - while in this source is is reported as percent volume.","processed in field, visual estimates of percent volume","2019-11-15","Caroline Graham"
5,"1998","Diel feeding habits and estimates of prey consumption of sockeye, chum, and pink salmon in the Bering Sea in 1997","N. D. Davis","K. Y. Aydin","Y. Ishida",NA,NA,NA,NA,NA,NA,NA,NA,"Davis, N.D., Aydin, K.Y., Ishida, Y., 1998. Diel feeding habits and estimates of prey consumption of sockeye, chum, and pink salmon in the Bering Sea in 1997. (NPAFC Doc. 363) FRI-UW-9816. Fisheries Research Institute, University of Washington, Seattle, U.S.A; National Research Institute of Far Seas Fisheries, Shimizu, Japan, 24 pp.","This paper is based on the same data as in Davis et al. 2000 but average weight of prey diet data is reported in more detail in Davis et al. 1998, predator biological parameters are reported differently with more detail in Davis et al. 2000","processed in field, visual estimates of percent volume","2019-11-15","Caroline Graham"
6,"2000","Diel catches and food habits of sockeye, pink, and chum salmon in the Central Bering Sea in summer","N. D. Davis","K. Y. Aydin","Y. Ishida",NA,NA,NA,NA,NA,NA,NA,NA,"Davis, N.D., Aydin, K.Y., Ishida, Y., 2000. Diel catches and food habits of sockeye, pink, and chum salmon in the Central Bering Sea in summer. North Pacific Anadromous Fish Commission Bulletin 2, 99-109.","This paper is based on the same data as in Davis et al. 1998 but average weight of prey diet data is reported in more detail in Davis et al. 1998, predator biological parameters are reported differently with more detail in this source","visual estimates of percent volume","2019-11-15","Caroline Graham"
7,"2003","Interannual and interregional analysis of chum salmon feeding features in the Bering Sea and adjacent Pacific waters of Eastern Kamchatka","E. P. Dulepova","V. I. Dulepov",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dulepova, E.P., Dulepov, V.I., 2003. Interannual and interregional analysis of chum salmon feeding features in the Bering Sea and adjacent Pacific waters of Eastern Kamchatka. (NPAFC Doc. 728.) Pacific Research Fisheries Centre, TINRO-Centre, Vladivostok, Russia, 8 pp.","The diet metric reported was assumed to be percent weight of prey","processed in field","2019-11-15","Caroline Graham"
8,"1967","Stomach contents of the pink salmon, Oncorhynchus gorbuscha (Walbaum), in the Japan Sea during the spring season of 1965","H. Fukataki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fukataki, H., 1967. Stomach contents of the pink salmon, Oncorhynchus gorbuscha (Walbaum), in the Japan Sea during the spring season of 1965. Bulletin of the Japan Sea Regional Fisheries Research Laboratory 17, 49-66. In Japanese: English abstract.","The data is reported as early, middle, or late part of the month - these were converted to date values for every 10 days (1-10, 10-20, 20-30) for each month.",NA,"2019-11-15","Caroline Graham"
9,"1998","Chinook and coho salmon feeding habits in the Far Eastern seas in the course of yearly migration cycle","I. I. Glebov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Glebov, I.I., 1998. Chinook and coho salmon feeding habits in the Far Eastern seas in the course of yearly migration cycle. (NPAFC Doc. 378.) Pacific Research Fisheries Centre TINRO-Centre, Vladivostok, Russia, 57 pp.","The diet metric reported was assumed to be percent weight of prey",NA,"2019-11-15","Caroline Graham"
10,"1964","Food and feeding habits of Pacific salmon (genus Oncorhynchus) in their oceanic life","J. Ito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ito, J., 1964. Food and feeding habits of Pacific salmon (genus Oncorhynchus) in their oceanic life. Bulletin of the Hokkaido Regional Fisheries Research Laboratory 29, 85-97. In Japanese: English abstract.",NA,NA,"2019-11-15","Caroline Graham"
